1, Save ,4,5,1,1,1
2,Passing,9,11,1,1,1
3,Save Penalty,0,0,1,1,1
4,Duel 1-1,1,1,1,1,1
5,Passing,20,25,1,2,1
6,Intercept,3,5,1,2,1
7,Heading,4,6,1,2,1
8,Tackle,4,5,1,2,1
9,Passing,24,28,1,3,1
10,Intercept,5,7,1,3,1
11,Heading,12,17,1,3,1
12,Tackle,4,4,1,3,1
13,Passing,27,35,1,4,1
14,Intercept,4,6,1,4,1
15,Heading,7,9,1,4,1
16,Tackle,5,6,1,4,1
17,Passing,29,34,1,5,1
18,Intercept,4,4,1,5,1
19,Heading,3,5,1,5,1
20,Tackle,5,5,1,5,1
21, Passing,30,32,1,6,1
22,Dribbling,5,6,1,6,1
23, Intercept,5,5,1,6,1
24,Shooting,0,1,1,6,1
25,Heading,3,6,1,6,1
26, Passing,29,34,1,7,1
27,Dribbling,7,9,1,7,1
28, Intercept,3,4,1,7,1
29,Shooting,1,3,1,7,1
30,Heading,5,6,1,7,1
31, Passing,33,40,1,8,1
32,Dribbling,5,7,1,8,1
33, Intercept,1,4,1,8,1
34,Shooting,1,5,1,8,1
35,Heading,1,3,1,8,1
36, Passing,20,30,1,9,1
37, Shooting,1,5,1,9,1
38,Heading,2,4,1,9,1
39,Dribbling,6,10,1,9,1
40, Passing,18,20,1,10,1
41, Shooting,2,5,1,10,1
42,Heading,9,14,1,10,1
43,Dribbling,3,6,1,10,1
44, Passing,16,25,1,11,1
45, Shooting,0,3,1,11,1
46,Heading,1,3,1,11,1
47,Dribbling,10,12,1,11,1
48,  Save ,3,3,2,1,1
49,Passing,7,8,2,1,1
50,Save Penalty,1,1,2,1,1
51,Duel 1-1,1,2,2,1,1
52,Passing,22,24,2,2,1
53,Intercept,4,6,2,2,1
54,Heading,2,3,2,2,1
55,Tackle,4,5,2,2,1
56,Passing,25,27,2,3,1
57,Intercept,3,5,2,3,1
58,Heading,15,16,2,3,1
59,Tackle,3,3,2,3,1
60,Passing,29,38,2,4,1
61,Intercept,5,6,2,4,1
62,Heading,6,8,2,4,1
63,Tackle,5,5,2,4,1
64,Passing,32,39,2,5,1
65,Intercept,3,4,2,5,1
66,Heading,2,3,2,5,1
67,Tackle,4,5,2,5,1
68, Passing,35,42,2,6,1
69,Dribbling,4,6,2,6,1
70, Intercept,4,4,2,6,1
71,Shooting,0,1,2,6,1
72,Heading,2,3,2,6,1
73, Passing,33,39,2,7,1
74,Dribbling,8,11,2,7,1
75, Intercept,3,4,2,7,1
76,Shooting,0,3,2,7,1
77,Heading,7,8,2,7,1
78, Passing,38,45,2,8,1
79,Dribbling,6,7,2,8,1
80, Intercept,0,2,2,8,1
81,Shooting,0,4,2,8,1
82,Heading,0,1,2,8,1
83, Passing,26,34,2,9,1
84, Shooting,0,3,2,9,1
85,Heading,1,5,2,9,1
86,Dribbling,13,16,2,9,1
87, Passing,19,24,2,10,1
88, Shooting,3,6,2,10,1
89,Heading,11,16,2,10,1
90,Dribbling,2,4,2,10,1
91, Passing,19,27,2,11,1
92, Shooting,1,2,2,11,1
93,Heading,0,2,2,11,1
94,Dribbling,11,14,2,11,1
