103,Save,4,10,1,นวพล ศรีเวียงธวัช,13
104,Passing,10,11,1,นวพล ศรีเวียงธวัช,13
105,Save Penalty,0,1,1,นวพล ศรีเวียงธวัช,13
106,Duel 1-1,1,2,1,นวพล ศรีเวียงธวัช,13
107,Save,2,3,1,ณัฐวัตร นามเจริญ,14
108,Passing,5,10,1,ณัฐวัตร นามเจริญ,14
109,Save Penalty,0,2,1,ณัฐวัตร นามเจริญ,14
110,Duel 1-1,1,2,1,ณัฐวัตร นามเจริญ,14
111,Passing,20,30,1,สุทธิราช ป้อมสุวรรณ,15
112,Intercept,2,5,1,สุทธิราช ป้อมสุวรรณ,15
113,Heading,2,6,1,สุทธิราช ป้อมสุวรรณ,15
114,Tackle,1,5,1,สุทธิราช ป้อมสุวรรณ,15
115,Passing,24,30,1,ณัฐชนน เทศมงคล,16
116,Intercept,4,7,1,ณัฐชนน เทศมงคล,16
117,Heading,12,20,1,ณัฐชนน เทศมงคล,16
118,Tackle,2,4,1,ณัฐชนน เทศมงคล,16
119,Passing,27,29,1,ทิยะ ปานะดิษฐ,17
120,Intercept,6,6,1,ทิยะ ปานะดิษฐ,17
121,Heading,2,9,1,ทิยะ ปานะดิษฐ,17
122,Tackle,4,6,1,ทิยะ ปานะดิษฐ,17
123,Passing,20,30,1,ธีรภาพ ฮวดเจริญ,18
124,Dribbling,2,4,1,ธีรภาพ ฮวดเจริญ,18
125,Intercept,7,10,1,ธีรภาพ ฮวดเจริญ,18
126,Shooting,0,1,1,ธีรภาพ ฮวดเจริญ,18
127,Heading,5,8,1,ธีรภาพ ฮวดเจริญ,18
128,Passing,30,37,1,สรวิชญ์ ขันอาสา,19
129,Dribbling,3,5,1,สรวิชญ์ ขันอาสา,19
130,Intercept,5,9,1,สรวิชญ์ ขันอาสา,19
131,Shooting,1,2,1,สรวิชญ์ ขันอาสา,19
132,Heading,4,6,1,สรวิชญ์ ขันอาสา,19
133,Passing,18,22,1,ศักดินา ศรีราม,20
134,Dribbling,5,10,1,ศักดินา ศรีราม,20
135,Intercept,1,5,1,ศักดินา ศรีราม,20
136,Shooting,1,3,1,ศักดินา ศรีราม,20
137,Heading,2,5,1,ศักดินา ศรีราม,20
138,Passing,11,15,1,ทศพร จันทรทักษิณ,21
139,Shooting,2,12,1,ทศพร จันทรทักษิณ,21
140,Heading,6,10,1,ทศพร จันทรทักษิณ,21
141,Dribbling,7,11,1,ทศพร จันทรทักษิณ,21
142,Passing,7,10,1,ธนานันท์ วอนเพียร,22
143,Shooting,1,5,1,ธนานันท์ วอนเพียร,22
144,Heading,3,6,1,ธนานันท์ วอนเพียร,22
145,Dribbling,5,9,1,ธนานันท์ วอนเพียร,22
146,Passing,10,15,1,พงศ์พันธ์ เดชวงศ์ญา,23
147,Shooting,0,3,1,พงศ์พันธ์ เดชวงศ์ญา,23
148,Heading,7,8,1,พงศ์พันธ์ เดชวงศ์ญา,23
149,Dribbling,1,3,1,พงศ์พันธ์ เดชวงศ์ญา,23
150,Save,1,3,2,นวพล ศรีเวียงธวัช,13
151,Passing,7,10,2,นวพล ศรีเวียงธวัช,13
152,Save Penalty,1,1,2,นวพล ศรีเวียงธวัช,13
153,Duel 1-1,1,2,2,นวพล ศรีเวียงธวัช,13
154,Save,5,5,2,ณัฐวัตร นามเจริญ,14
155,Passing,5,10,2,ณัฐวัตร นามเจริญ,14
156,Save Penalty,0,2,2,ณัฐวัตร นามเจริญ,14
157,Duel 1-1,1,1,2,ณัฐวัตร นามเจริญ,14
158,Passing,22,22,2,สุทธิราช ป้อมสุวรรณ,15
159,Intercept,6,6,2,สุทธิราช ป้อมสุวรรณ,15
160,Heading,0,3,2,สุทธิราช ป้อมสุวรรณ,15
161,Tackle,0,5,2,สุทธิราช ป้อมสุวรรณ,15
162,Passing,20,27,2,ณัฐชนน เทศมงคล,16
163,Intercept,3,5,2,ณัฐชนน เทศมงคล,16
164,Heading,16,16,2,ณัฐชนน เทศมงคล,16
165,Tackle,0,3,2,ณัฐชนน เทศมงคล,16
166,Passing,29,40,2,ทิยะ ปานะดิษฐ,17
167,Intercept,5,6,2,ทิยะ ปานะดิษฐ,17
168,Heading,5,8,2,ทิยะ ปานะดิษฐ,17
169,Tackle,5,5,2,ทิยะ ปานะดิษฐ,17
170,Passing,25,33,2,ธีรภาพ ฮวดเจริญ,18
171,Dribbling,2,3,2,ธีรภาพ ฮวดเจริญ,18
172,Intercept,6,7,2,ธีรภาพ ฮวดเจริญ,18
173,Shooting,0,2,2,ธีรภาพ ฮวดเจริญ,18
174,Heading,5,7,2,ธีรภาพ ฮวดเจริญ,18
175,Passing,29,34,2,สรวิชญ์ ขันอาสา,19
176,Dribbling,3,6,2,สรวิชญ์ ขันอาสา,19
177,Intercept,5,9,2,สรวิชญ์ ขันอาสา,19
178,Shooting,2,5,2,สรวิชญ์ ขันอาสา,19
179,Heading,3,6,2,สรวิชญ์ ขันอาสา,19
180,Passing,19,25,2,ศักดินา ศรีราม,20
181,Dribbling,6,9,2,ศักดินา ศรีราม,20
182,Intercept,2,5,2,ศักดินา ศรีราม,20
